labels,created_at,body,number,state_reason,title,state,translation,src_lang,gpt_translation,gpt_src_lang,deepL_translation,deepL_src_lang,aws_translation,aws_src_lang
info-needed:*english-please:translation-required-portuguese-brazil:triage-needed,2023-03-09T17:28:09Z,"Type: <b>Bug</b>

Estou com um barulho ao digitar codigos e não encontro como tirar.

",176660,not_planned,Barulho,closed,"Type: <b>Bug</b> I have a noise when typing codes and I can&#39;t find how to remove it.

",pt,Noise. Type: <b>Bug</b> I have a noise when typing codes and I can't find how to remove it.,pt,Noise Type: <b>Bug</b>I have a noise when I type in codes and I can't find a way to remove it.,PT,Noise Type: <b>Bug</b> I have a noise when entering codes and I can't find a way to get it out.,pt
info-needed:*english-please:translation-required-portuguese-brazil,2023-03-09T17:14:08Z,"Type: <b>Bug</b>

O explorador de arquivos, não mostra os arquivos

",176658,not_planned,Explorador de arquivos não aparece,closed,"Type: <b>Bug</b> File Explorer does not show files

",pt,File explorer does not appear. Type: <b>Bug</b>The file explorer does not display the files.,pt,File explorer not showing Type: <b>Bug</b> File explorer not showing files,PT,File Explorer does not appear Type: <b>Bug</b> The file explorer does not show the files,pt
info-needed:freeze-slow-crash-leak:*duplicate:extension-host:*english-please:translation-required-portuguese-brazil,2023-03-09T16:50:06Z,"Type: <b>Bug</b>

fica dando essa mensagem toda hora

",176656,completed,mensagem de erro host de extensoes reiniando,closed,"Type: <b>Bug</b> keeps giving this message all the time

",pt,extension host error message restarting. Type: Bug keeps showing this message all the time.,pt,error message extension host restarting Type: <b>Bug</b> gives this message all the time,PT,Extension host error message restarting Type: <b>Bug</b> keeps giving this message all the time,pt
info-needed:*english-please:translation-required-chinese-simplified,2023-03-09T07:22:42Z,"
Type: <b>Bug</b>

JS代码下  注释快捷键不生效
改了快捷键也没用

",176606,completed,JS代码下  注释快捷键不生效,closed,"
Type: <b>Bug</b> The shortcut key for commenting JS code does not work. Changing the shortcut key does not work.

",zh-CN,JS code comment shortcut key does not work. Type: <b>Bug</b>. Changing the shortcut key also doesn't help.,zh,JS code annotation shortcuts do not work Type: <b>Bug</b> JS code annotation shortcuts do not work changed shortcuts are useless,ZH,<b>The comment shortcut under the JS code does not work Type: Bug the comment shortcut in the JS code does not work. Changed the shortcut and it is useless</b>,zh
info-needed:*english-please:translation-required-chinese-simplified,2023-03-09T04:11:58Z,"Type: <b>Bug</b>

![image](https://user-images.githubusercontent.com/48234072/223914345-985140af-6ba4-420d-a6c2-ae40647064e7.png)

无法创建文件夹和文件
无法创建resources下的资源
没有显示pom文件
父子文件结构展示可以增加树形结构连线展示
![image](https://user-images.githubusercontent.com/48234072/223914833-e51b3116-e635-416a-a5a8-29bb03d34826.png)

",176585,not_planned,功能缺陷,closed,"Type: <b>Bug</b> ![image](https://user-images.githubusercontent.com/48234072/223914345-985140af-6ba4-420d-a6c2-ae40647064e7.png) Unable to create folders and files Unable to create resources under resources The pom file parent-child file structure display is not displayed. The tree structure connection display can be added![image](https://user-images.githubusercontent.com/48234072/223914833-e51b3116-e635-416a-a5a8-29bb03d34826.png)

",zh-CN,"Functional Defect. Type: Bug![image](https://user-images.githubusercontent.com/48234072/223914345-985140af-6ba4-420d-a6c2-ae40647064e7.png) Unable to create folders and files. Unable to create resources under the resources directory. The POM file parent-child file structure display does not show, and tree structure links can be added for display![image](https://user-images.githubusercontent.com/48234072/223914833-e51b3116-e635-416a-a5a8-29bb03d34826.png).",zh,Bug Type: <b>Bug</b>! [image](https://user-images.githubusercontent.com/48234072/223914345-985140af-6ba4-420d-a6c2-ae40647064e7.png) Folders and files cannot be created! Resources under resources don't show pom file parent-child file structure display can add tree structure linking display! [image](https://user-images.githubusercontent.com/48234072/223914833-e51b3116-e635-416a-a5a8-29bb03d34826.png),ZH,Functional defect Type: <b>Bug!</b> [image] (https://user-images.githubusercontent.com/48234072/223914345-985140af-6ba4-420d-a6c2-ae40647064e7.png)无法创建文件夹和文件无法创建resources下的资源没有显示pom文件父子文件结构展示可以增加树形结构连线展示! [image] (https://user-images.githubusercontent.com/48234072/223914833-e51b3116-e635-416a-a5a8-29bb03d34826.png),zh
info-needed:*english-please:translation-required-chinese-simplified:triage-needed,2023-03-09T02:49:06Z,"Type: <b>Bug</b>

直接就崩了 

",176582,not_planned,崩溃,closed,"Type: <b>Bug</b> crashed directly 

",zh-CN,Crash. Type: <b>Bug</b> It just crashed directly.,zh,Crashes Type: <b>Bug</b> Straight away!,ZH,Crash Type: The <b>bug just</b> crashed ,zh
info-needed:*english-please:translation-required-chinese-simplified,2023-03-08T04:42:05Z,"Type: <b>Bug</b>

代码错误就崩溃

",176466,not_planned,代码错误,closed,"Type: <b>Bug</b> code error crashes

",zh-CN,Code error. Type: <b>Bug</b> The program crashes due to the code error.,zh,Code Error Type: <b>Bug</b> Code Error on Crash,ZH,Code error Type: <b>Bug</b> Crashes when the code is wrong,zh
info-needed:*english-please:translation-required-turkish:triage-needed,2023-03-07T23:32:31Z,De maid acık olduğu halde her temizlemede etkileşim hatası veriyor her seferinde ayarları kapatıp açmak zorunda kalıyorum,176453,not_planned,Hata,closed,"Even though De Maid is open, it gives an interaction error during every cleaning and I have to close and open the settings every time.",tr,"Error. Even though the maid is open, it gives an interaction error every time it cleans, and I have to close and open the settings each time.",tr,Error De maid is open but gives an interaction error on every cleanup and I have to close and open the settings every time,TR,Error De maid is hungry and gives interaction error every time I have to close and open settings every time,tr
info-needed:*english-please:translation-required-spanish,2023-03-07T13:30:50Z,"Type: <b>Bug</b>

Estoy teniendo muchos problemas en las  ultimas 24 horas, tengo un mensaje de que algo en el host salio mal y todas misextenciones en especial copilot deja de funcionar
help me

",176383,not_planned,VS deja de funciona | host dejo de funcionar,closed,"Type: <b>Bug</b> I&#39;m having a lot of problems in the last 24 hours, I have a message that something on the host went wrong and all my extensions especially copilot stop working help me

",es,"VS stops working | host stopped working. Type: <b>Bug</b> I'm having a lot of problems in the last 24 hours. I have a message saying that something went wrong on the host, and all my extensions, especially Copilot, stop working. Help me.",es,VS stops working | host stopped working Type: <b>Bug</b>I'm having a lot of problems in the last 24 hours I got a message that something in the host went wrong and all my extensions especially copilot stops working.,ES,"VS stops working | host stopped working Type: <b>Bug</b> I'm having a lot of problems in the last 24 hours I have a message that something on the host went wrong and all my extensions, especially copilot, stop workinghelp me",es
info-needed:*english-please:triage-needed:translation-required-swedish,2023-03-07T10:16:43Z,,176355,not_planned,Skådespelare,closed,,,Actor,sv,Actors and actresses,SV,Actor ,sv
info-needed:*english-please:translation-required-russian,2023-03-07T08:31:11Z,"Type: <b>Bug</b>

Простой просмотр файлов и установка yarn пакетов через терминал

",176348,not_planned,Постоянные ошибки,closed,"Type: <b>Bug</b> Easy file browsing and yarn package installation via terminal

",ru,Constant errors. Type: <b>Bug</b> Simple file browsing and installation of yarn packages through the terminal.,ru,Constant errors Type: <b>Bug</b> Easy to browse files and install yarn packages via terminal,RU,Persistent Type: <b>Bug</b> Errors Easy to view files and install yarn packages through the terminal,ru
info-needed:*english-please:translation-required-russian,2023-03-06T18:44:45Z,"
![ошибка](https://user-images.githubusercontent.com/127142098/223202059-4a089090-228a-4cc0-b681-fb4b7895ff67.png)
![ошибка1](https://user-images.githubusercontent.com/127142098/223202067-681e10fe-8726-49ff-83f8-37f749d9d02d.png)
![ошибка2](https://user-images.githubusercontent.com/127142098/223202075-27e80130-c133-4c31-9d6c-41b9a9d33fd9.png)
Type: <b>Bug</b>

я выполнял задание от учителя, в итоге дошел до момента как я начал создавать index.php, создал и начал переписывать код который нужен. в",176283,not_planned,говорит не верный код,closed,"
![error](https://user-images.githubusercontent.com/127142098/223202059-4a089090-228a-4cc0-b681-fb4b7895ff67.png) ![error1](https://user-images.githubusercontent.com/ 127142098/223202067-681e10fe-8726-49ff-83f8-37f749d9d02d.png) ![error2](https://user-images.githubusercontent.com/127142098/223202075-27e80130-c133-4c31-9d6c-41b9a9d33fd9.png) Type: <b>Bug</b> I was doing the assignment from the teacher, eventually I got to the point where I started create index.php, created and started rewriting the code that is needed.",ru,"says incorrect code. ![error](https://user-images.githubusercontent.com/127142098/223202059-4a089090-228a-4cc0-b681-fb4b7895ff67.png)![error1](https://user-images.githubusercontent.com/127142098/223202067-681e10fe-8726-49ff-83f8-37f749d9d02d.png)![error2](https://user-images.githubusercontent.com/127142098/223202075-27e80130-c133-4c31-9d6c-41b9a9d33fd9.png)Type: <b>Bug</b>I was doing an assignment from the teacher and eventually reached the point where I started creating index.php, created it, and began rewriting the necessary code.",ru,says invalid code ![error](https://user-images.githubusercontent.com/127142098/223202059-4a089090-228a-4cc0-b681-fb4b7895ff67.png)![error1](https://user-images.githubusercontent.com/127142098/223202067-681e10fe-8726-49ff-83f8-37f749d9d02d.png)![error2](https://user-images.githubusercontent.com/127142098/223202075-27e80130-c133-4c31-9d6c-41b9a9d33fd9.png)Type: <b>Bug</b> I was doing an assignment from my teacher and eventually got to the point where I started creating index.php created and started rewriting the code that was needed. in the,RU,"says the wrong code! [bug] (https://user-images.githubusercontent.com/127142098/223202059-4a089090-228a-4cc0-b681-fb4b7895ff67.png)! [error1] (https://user-images.githubusercontent.com/127142098/223202067-681e10fe-8726-49ff-83f8-37f749d9d02d.png)! [error2] (https://user-images.githubusercontent.com/127142098/223202075-27e80130-c133-4c31-9d6c-41b9a9d33fd9.png)Type: <b>Bug</b> I was doing a task from a teacher, I eventually got to the point where I started creating index.php, created and started rewriting the code I needed. in",ru
info-needed:*english-please:translation-required-portuguese-brazil:triage-needed,2023-03-06T14:40:54Z,"Type: <b>Bug</b>

Eu estava na versão 1.75.0 do VSCODE e após a atualização meu acesso remoto ao servidor ficou bloqueado. Meu explorador remoto ou qualquer tipo de conexao remota ao servidor está sendo bloqueada.

Versão: 1.76.0
Commit: 92da9481c0904c6adfe372c12da3b7748d74bdcb
Data: 2023-03-01T10:23:45.993Z
Electron: 19.1.11
Chromium: 102.0.5005.196
Node.js: 16.14.2
V8: 10.2.154.26-electron.0
SO: Darwin x64 21.6.0
Em área restrita: No

",176236,not_planned,Erro apos atualização de 1.75 para 1.76,closed,"Type: <b>Bug</b> I was on version 1.75.0 of VSCODE and after the update my remote access to the server was blocked. My remote explorer or any kind of remote connection to the server is being blocked. Version: 1.76.0 Commit: 92da9481c0904c6adfe372c12da3b7748d74bdcb Date: 2023-03-01T10:23:45.993Z Electron: 19.1.11 Chromium: 102.0.5005.196 Node.js: 16.14.2 V8: 10.2.154.26-electron.0 OS: Darwin x64 21.6.0 Sandboxed: No

",pt,"Error after updating from 1.75 to 1.76. Type: <b>Bug</b> I was on version 1.75.0 of VSCODE and after the update, my remote access to the server was blocked. My remote explorer or any kind of remote connection to the server is being blocked. Version: 1.76.0 Commit: 92da9481c0904c6adfe372c12da3b7748d74bdcb Date: 2023-03-01T10:23:45.993Z Electron: 19.1.11 Chromium: 102.0.5005.196 Node.js: 16.14.2 V8: 10.2.154.26-electron.0 OS: Darwin x64 21.6.0 In a restricted area: No.",pt,Error after upgrade from 1.75 to 1.76 Type: <b>Bug</b> I was on VSCODE version 1.75.0 and after the upgrade my remote access to the server was blocked. My remote explorer or any kind of remote connection to the server is being blocked.Version: 1.76.0Commit: 92da9481c0904c6adfe372c12da3b7748d74bdcbData: 2023-03-01T10:23:45.993ZElectron: 19.1.11Chromium: 102.0.5005.196Node.js: 16.14.2V8: 10.2.154.26-electron.0OS: Darwin x64 21.6.0In restricted area: No,PT,Error after updating from 1.75 to 1.76 Type: <b>Bug</b> I was on version 1.75.0 of VSCODE and after the upgrade my remote access to the server was blocked. My remote explorer or any type of remote connection to the server is being blocked.Version: 1.76.0Commit: 92da9481C0904c6adfe372c12da3b7748d74bdcbData: 2023-03-01T 10:23:45.993 ZElectron: 19.1.11Chromium: 102.0.5005.196Node.js: 16.14.2V8:10.2.154.26-Electron.0So: Darwin x64 21.6.0 In restricted area: No,pt
info-needed:*english-please:translation-required-japanese,2023-03-03T13:36:52Z,"Type: <b>Bug</b>

Sorry for the poor English.

# .tsconfig.json is not properly recognized in a project that mounts samba on windows.

## example project

project path
`\\192.168.33.16\home\project`

.tsconfig.json path
`\\192.168.33.16\home\project\.tsconfig.json`

## v1.75.1 (no problem)
![2023-03-03_22h32_42](https://user-images.githubusercontent.com/738095/222735710-dbccb868-b6c4-4133-adf5-4f70dddd7c50.png)

## v1.76 (problem)
![2023-03-03_22h33_39](https://user-images.githubusercontent.com/",176042,not_planned,.tsconfig.json is not properly recognized in a project that mounts samba on windows.,closed,"Type: <b>Bug</b>

Sorry for the poor English.

# .tsconfig.json is not properly recognized in a project that mounts samba on windows.

## example project

project path
`\\192.168.33.16\home\project`

.tsconfig.json path
`\\192.168.33.16\home\project\.tsconfig.json`

## v1.75.1 (no problem)
![2023-03-03_22h32_42](https://user-images.githubusercontent.com/738095/222735710-dbccb868-b6c4-4133-adf5-4f70dddd7c50.png)

## v1.76 (problem)
![2023-03-03_22h33_39](https://user-images.githubusercontent.com/",en,.tsconfig.json is not properly recognized in a project that mounts samba on windows.. Type: Bug Sorry for the poor English. # .tsconfig.json is not properly recognized in a project that mounts samba on windows. ## example project project path `\\192.168.33.16\home\project` .tsconfig.json path `\\192.168.33.16\home\project\.tsconfig.json` ## v1.75.1 (no problem) IMAGE ## v1.76 (problem) IMAGE,en,.tsconfig.json is not properly recognized in a project that mounts samba on windows. Type: <b>Bug</b>Sorry for the poor English.# .tsconfig.json is not properly recognized in a project that mounts samba on windows.## example projectproject path`\\192.168.33.16\home\project`.tsconfig.json path`\\192.168.33.16\home\project\.tsconfig.json`## v1.75.1 (no problem)![2023-03-03_22h32_42](https://user-images.githubusercontent.com/738095/222735710-dbccb868-b6c4-4133-adf5-4f70dddd7c50.png)## v1.76 (problem)![2023-03-03_22h33_39](https://user-images.githubusercontent.com/,EN,.tsconfig.json is not properly recognized in a project that mounts samba on windows. Type: <b>Bug</b>Sorry for the poor English.# .tsconfig.json is not properly recognized in a project that mounts samba on windows.## example projectproject path`\\192.168.33.16\home\project`.tsconfig.json path`\\192.168.33.16\home\project\.tsconfig.json`## v1.75.1 (no problem)![2023-03-03_22h32_42](https://user-images.githubusercontent.com/738095/222735710-dbccb868-b6c4-4133-adf5-4f70dddd7c50.png)## v1.76 (problem)![2023-03-03_22h33_39](https://user-images.githubusercontent.com/,en
info-needed:*caused-by-extension:*english-please:triage-needed:translation-required-vietnamese,2023-03-03T09:25:28Z,,176027,completed,lỗi live sever,closed,,,live server error,vi,lỗi live sever,EN,live sever error ,vi
info-needed:*english-please:translation-required-chinese-simplified:triage-needed,2023-03-03T08:53:09Z,"sorry, this issues is already resolved.

it's not a bug. 

I want to set diff tab size for diff language. for reStructuredText, use ""restructuredtext"" instead of ""rst""  or ""reStructuredText"".

thanks for your apply, please close this error issues.
",176024,completed,编辑器自动检查缩进不支持rst语言,closed,"sorry, this issues is already resolved.

it's not a bug. 

I want to set diff tab size for diff language. for reStructuredText, use ""restructuredtext"" instead of ""rst""  or ""reStructuredText"".

thanks for your apply, please close this error issues.
",en,"The editor's automatic indentation check does not support the RST language. Sorry, this issue is already resolved. It's not a bug. I want to set different tab sizes for different languages. For reStructuredText, use ""restructuredtext"" instead of ""rst"" or ""reStructuredText"". Thanks for your application, please close this error issue.",zh,"编辑器自动检查缩进不支持rst语言 sorry this issues is already resolved.it's not a bug. I want to set diff tab size for diff language. for reStructuredText use ""restructuredtext"" instead of ""rst"" or ""reStructuredText"".thanks for your apply please close this error issues.",EN,"编辑器自动检查缩进不支持rst语言 sorry this issues is already resolved.it's not a bug. I want to set diff tab size for diff language. for reStructuredText use ""restructuredtext"" instead of ""rst"" or ""reStructuredText"".thanks for your apply please close this error issues.",en
info-needed:*english-please:translation-required-chinese-simplified:triage-needed,2023-03-03T03:53:33Z,"Type: <b>Bug</b>

打开vscode，启动已激活插件，启动插件luaide调试，正常写代码，扩展宿主重启。

",176002,not_planned,扩展宿主连续重启。没使用多久又重启。,closed,"Type: <b>Bug</b> Open vscode, start the activated plugin, start the plugin luaide debugging, write code normally, and restart the extension host.

",zh-CN,"Extended host continuously restarts. Restarts again shortly after use. Type: Bug. Opened vscode, activated plugins, started the plugin luaide for debugging, wrote code normally, and the extended host restarted.",zh,"Extended hosts rebooted continuously. It didn't take long to use it and reboot again. Type: <b>Bug</b> Open vscode, start activated plugin, start plugin luaide debugging, write code normally, extension host restarts.",ZH,"The extended host reboots continuously. Rebooted after not using it for a long time. Type: <b>Bug</b> Open vscode, start the activated plug-in, start debugging the plug-in luaide, write the code normally, and restart the extension host.",zh
info-needed:*english-please:translation-required-chinese-simplified,2023-03-03T03:33:36Z,"Type: <b>Bug</b>

扩展主机在过去5分钟内意外终止了3次

",175999,completed,扩展主机在过去5分钟内意外终止了3次,closed,"Type: <b>Bug</b> The extension host terminated unexpectedly 3 times in the past 5 minutes

",zh-CN,The extension host has unexpectedly terminated 3 times in the past 5 minutes. Type: <b>Bug</b> The extension host has unexpectedly terminated 3 times in the past 5 minutes.,zh,Extended host has terminated unexpectedly 3 times in the last 5 minutes Type: <b>Bug</b> Extended host has terminated unexpectedly 3 times in the last 5 minutes,ZH,<b>Expansion host unexpectedly terminated 3 times in the past 5 minutes Type: Bug Expansion host unexpectedly terminated 3 times in the past 5 minutes</b>,zh
info-needed:*english-please:translation-required-chinese-simplified,2023-03-02T12:39:41Z,"![img_v2_acc86b97-e190-48c9-9345-d02ab61baadg](https://user-images.githubusercontent.com/46671582/222430819-d42f78b4-b8f1-487a-8207-94816796e0fe.png)

请教下，我该怎么做 能让日期显示正常。",175883,not_planned,您好，我想尝试自己打包生成一个安装包，为什么软件时间日期显示错误，显示1980年,closed,![img_v2_acc86b97-e190-48c9-9345-d02ab61baadg](https://user-images.githubusercontent.com/46671582/222430819-d42f78b4-b8f1-487a-8207-94816796e0fe.png) Please tell me what I can do to make the date display normally.,zh-CN,"Hello, I want to try to package and generate an installation package myself. Why does the software display the wrong date and time, showing 1980? ![img_v2_acc86b97-e190-48c9-9345-d02ab61baadg](https://user-images.githubusercontent.com/46671582/222430819-d42f78b4-b8f1-487a-8207-94816796e0fe.png) Could you advise me on what I should do to let the date display correctly.",zh,"Hello, I would like to try to package myself to generate an installer, why is the software time and date displayed incorrectly, it shows 1980 ! [img_v2_acc86b97-e190-48c9-9345-d02ab61baadg](https://user-images.githubusercontent.com/46671582/222430819-d42f78b4-b8f1-487a-8207 -94816796e0fe.png)Please tell me what I can do to make the date display normal.",ZH,"Hello, I want to try to package and generate an installation package myself, why is the software showing the wrong time and date, showing 1980! [img_v2_acc86b97-e190-48c9-9345-d02ab61baadg] (https://user-images.githubusercontent.com/46671582/222430819-d42f78b4-b8f1-487a-8207-94816796e0fe.png)请教下，我该怎么做 makes the date display normal.",zh
info-needed:*english-please:translation-required-korean,2023-03-02T09:42:20Z,"
Type: <b>Feature Request</b>

안녕하세요 깃허브에 파일을 업로드하는데 시간이 오래 걸리고 제 깃허브에 들어가면 폴더는 올라갔는데 코드는 안 올라가서 어떻게 해야 할지 문의드립니다.

",175858,not_planned,깃허브에 올리는데 오래 걸려서 어떻게 해야 할지 문의드립니다.,closed,"
Type: <b>Feature Request</b> Hello, it takes a long time to upload files to GitHub, and when I go to my GitHub, the folder is uploaded but the code is not uploaded, so I am asking what to do.

",ko,"I'm taking a long time to upload to GitHub, so I'm inquiring about what to do.. Type: Feature Request Hello, it takes a long time to upload files to GitHub, and when I enter my GitHub, the folder is uploaded but the code is not, so I'm inquiring what to do about it..",ko,"Uploading to GitHub is taking a long time and I'm wondering what to do. Type: <b>Feature Request</b>Hello, it takes a long time to upload files to GitHub and when I go to my GitHub, the folder is up but the code is not, so I'm wondering what I can do.",KO,"It took a long time to post on GitHub, so I'm asking how to do it. Type: <b>Feature Request</b> Hello, it takes a long time to upload a file to GitHub, and when I go to GitHub, the folder goes up, but the code doesn't go up, so I'm asking what to do.",ko
info-needed:*english-please:translation-required-chinese-simplified:triage-needed,2023-03-02T08:19:49Z,"Type: <b>Bug</b>

总是重启

",175847,not_planned,5分钟崩溃三次，重启宿主程序,closed,"Type: <b>Bug</b> always restarts

",zh-CN,"Crashed three times in five minutes, restarting the host program. Type: Bug always restarts.",zh,"Crashes three times in five minutes, restarts host program Type: <b>Bug</b> always restarts",ZH,"<b>Crashed three times in 5 minutes, restarting the host program Type: Bug always restarts</b>",zh
info-needed:*caused-by-extension:*english-please:translation-required-chinese-simplified,2023-03-01T03:28:24Z,"Type: <b>Bug</b>

1. 无法创建resources下的资源
2. 没有显示pom文件
3. 父子文件结构展示可以增加树形结构连线展示
![image](https://user-images.githubusercontent.com/48234072/222037495-0e6c2e11-ef0e-4de4-b78f-3c0c5e913f0b.png)



",175726,not_planned,资源管理器 JAVA PROJECTS 功能缺陷,closed,"Type: <b>Bug</b> 1. Unable to create resources under resources 2. No pom file is displayed 3. The parent-child file structure display can add a tree structure connection display! [image](https://user-images.githubusercontent.com/48234072/222037495-0e6c2e11-ef0e-4de4-b78f-3c0c5e913f0b.png)



",zh-CN,Explorer JAVA PROJECTS functionality defects. Type: Bug 1. Unable to create resources under the resources folder 2. POM file not displayed 3. The hierarchical structure of parent and child files can add a tree structure line display,zh,Resource Manager JAVA PROJECTS Bugs Type: <b>Bug</b>1. can't create resources under resources2. no pom files displayed3. parent-child file structure display can be added to tree structure linking display! [image](https://user-images.githubusercontent.com/48234072/222037495-0e6c2e11-ef0e-4de4-b78f-3c0c5e913f0b.png),ZH,Resource Manager JAVA PROJECTS feature defect Type: <b>Bug 1.</b> Unable to create resources under Resources2. The pom file is not showing 3. Parent-child file structure display can add tree structure connection display! [image] (https://user-images.githubusercontent.com/48234072/222037495-0e6c2e11-ef0e-4de4-b78f-3c0c5e913f0b.png),zh
info-needed:*english-please:translation-required-portuguese-brazil,2023-02-26T16:02:31Z,"Type: <b>Bug</b>

Meu código CSS simplesmente não vai, não entendo o motivo já que a digitação do código está toda correta. Testei o mesmo código em outro PC e o mesmo foi, queria entender o problema que está acontencendo no meu PC ou visual code. 

",175463,not_planned,CSS ERRO ,closed,"Type: <b>Bug</b> My CSS code just won&#39;t load, I don&#39;t understand why since the code is all typed correctly. I tested the same code on another PC and it worked the same way, I wanted to understand the problem that is happening on my PC or visual code. 

",pt,"CSS ERROR . Type: <b>Bug</b> My CSS code simply doesn't work I don't understand the reason since the code typing is all correct. I tested the same code on another PC and it worked, I wanted to understand the problem that is happening on my PC or Visual Code.",pt,"CSS ERROR Type: <b>Bug</b>My CSS code just won't go, I don't understand why since I typed the code correctly. I tested the same code on another PC and the same thing happened. I would like to understand the problem that is happening on my PC or visual code.",PT,CSS ERROR Type: <b>Bug</b> My CSS code just won't work I don't understand the reason since I typed the code all right. I tested the same code on another PC and the same was I wanted to understand the problem that is happening with my PC or visual code. ,pt
info-needed:*english-please:translation-required-chinese-simplified:triage-needed,2023-02-24T13:41:52Z,,175328,not_planned,检测到不兼容的二进制文件，并且已通过 VS Code 中的市场 UI 安装 C/C++ 扩展,closed,,,"Incompatible binary file detected, and the C/C++ extension has been installed through the marketplace UI in VS Code.",zh,Incompatible binaries are detected and C/C++ extensions have been installed via the Marketplace UI in VS Code,ZH,Incompatible binaries have been detected and C/C++ extensions have been installed via the Marketplace UI in VS Code ,zh
info-needed:*english-please:translation-required-russian,2023-02-24T07:18:02Z,"
Type: <b>Bug</b>

Не могу подключить к GitHub пишет - ""Поставщики систем управления версиями не зарегистрированы""

",175307,not_planned,Система управления версиями,closed,"
Type: <b>Bug</b> I can&#39;t connect to GitHub, it says - &quot;Version control system providers are not registered&quot;

",ru,"Version control system. Type: **Bug** Unable to connect to GitHub, it says - ""Version control system providers are not registered.""",ru,"Version control system Type: <b>Bug</b> Can't connect to GitHub says ""Version control system vendors are not registered""",RU,Version control system Type: <b>Bug</b> Can't connect to GitHub writes - “Version control providers are not registered”,ru
info-needed:*english-please:translation-required-chinese-simplified:triage-needed,2023-02-22T09:30:41Z,"
Type: <b>Bug</b>

代码提示，代码联想功能失效

",175092,not_planned,代码联想功能失效,closed,"
Type: <b>Bug</b> code prompt, code association function is invalid

",zh-CN,"Code suggestion feature not working. Type: <b>Bug</b> Code hint, code suggestion feature not working.",zh,"Code association not working Type: <b>Bug</b> code hint, code association not working",ZH,"<b>Code association function not working Type: Bug code hint, code association function not working</b>",zh
info-needed:*english-please:translation-required-turkish,2023-02-21T17:13:36Z,"Type: <b>Performance Issue</b>

merhabalar linix a yükledim birkaç launch.json kodu eklemeyi denedim terminali açmak için ama başaramadım tekrar başlamak için silip tekrar yükledim yaptığım değişikler ve sorunlarla aynısını yükledi sıfırlayamıyorum
bazen belirli yerlerde takılma yaşıyor  YARDIM LÜTFEN 

",174953,completed,sıfırlama,closed,"Type: <b>Performance Issue</b> Hello, I installed it on linix and tried to add some launch.json codes to open the terminal but I couldn&#39;t. I deleted it and installed it again to start over. It installed the same changes and problems. I can&#39;t reset it. Sometimes it hangs in certain places. HELP PLEASE 

",tr,"reset. Type: <b>Performance Issue</b>Hello, I installed it on Linux and tried to add a few launch.json codes to open the terminal, but I couldn't succeed. I deleted and reinstalled it to start over, but it loaded the same changes and issues I made, I can't reset it. Sometimes it gets stuck in certain places. HELP PLEASE.",tr,reset Type: <b>Performance Issue</b> hello there I installed linix a I tried to add a few launch.json codes to open the terminal but I could not succeed I deleted and reinstalled it to start again and installed the same with the changes and problems I made I cannot reset sometimes it hangs in certain places HELP PLEASE,TR,Reset Type: <b>Performance Issue</b> hello i installed in linix i tried to add a few launch.json codes to open the terminal but failed to delete it to start again i installed the same changes and issues i made i can't reset sometimes it gets stuck in certain places HELP PLEASE ,tr
*question:info-needed:*english-please:translation-required-portuguese-brazil:triage-needed:stale,2023-02-19T00:15:39Z,"Type: <b>Feature Request</b>

Gostaria de saber como habilitar o botão de atualizar pelo icone Gerenciar?

",174769,not_planned,Botão Atualizar,closed,"Type: <b>Feature Request</b> Would you like to know how to enable the update button via the Manage icon?

",pt,Update Button. Type: Feature Request. I would like to know how to enable the update button through the Manage icon.,pt,Refresh Button Type: <b>Feature Request</b>Would you like to know how to enable the refresh button via the Manage icon?,PT,Update button Type: <b>Feature Request</b> Would you like to know how to enable the update button using the Manage icon?,pt
info-needed:*english-please:translation-required-portuguese-brazil:triage-needed,2023-02-16T11:20:32Z,"Type: <b>Bug</b>

Após Atualização VSCODE não executa Desfragmentar RPO

",174566,not_planned,After Update VSCODE does not run Defragment RPO,closed,"Type: <b>Bug</b> After Update VSCODE does not perform RPO Defragmentation

",pt,After Update VSCODE does not execute Defragment RPO.,pt,After Update VSCODE does not run Defragment RPO Type: <b>Bug</b> After Update VSCODE does not run Defragment RPO,PT,After Update VSCODE does not run Defragment RPO Type: <b>Bug</b> After Update VSCODE does not run Defragment RPO,pt
info-needed:*caused-by-extension:*english-please:translation-required-japanese,2023-02-16T05:35:58Z,必要なデータが送信するには大きすぎたため、クリップボードに書き込みました。貼り付けてください。,174528,not_planned,TS Server fatal error:  Debug Failure. False expression: Type assertions should never be parsed outside of TS; they should either be comparisons or JSX.,closed,"The required data was too large to send, so it was written to the clipboard. Please paste it.",ja,"TS Server fatal error: Debug Failure. False expression: Type assertions should never be parsed outside of TS; they should either be comparisons or JSX. The necessary data was too large to send, so it was written to the clipboard. Please paste it.",ja,"TS Server fatal error: Debug Failure. False expression: Type assertions should never be parsed outside of TS; they should either be comparisons or JSX. The required data was too large to send, so it was written to the clipboard. Please paste it.",JA,"TS Server fatal error: Debug Failure. False expression: type assertions should never be parsed outside of TS; they should either be considered or JSX. The data I needed was too big to send, so I wrote it to the clipboard. Please paste it.",ja
