Summary,Issue id,Status,Priority,Resolution,Created,Resolved,Description
[De] privacy_help.xhtml: Typo,1656694,ASSIGNED,P5,,2020-08-01 15:44:26+00:00,2023-07-04 18:19:08+00:00,"Steps how to reproduce with installation of unofficial (by wg9s) De SeaMonkey 2.53.5 beta 1 pre Mozilla/5.0  (NT 6.1; Win64; x64; rv:60.0) Gecko/20100101 Firefox/60.0 Build 20200727210001 (Default Classic Theme) on German WIN7 64bit

1. Browser → F1
   » Help appears
2. Type search string ""Cookies"" → Click last  hit ""Was sind Cookies und wie funktionieren sie?""
   » Related Help appears

You will find one misspelled word:


erwenden→   
verwenden"
Link about LEGACY extensions in Add-ons Manager is broken,1656797,RESOLVED,--,FIXED,2020-08-03 00:41:20+00:00,2021-12-25 13:45:51+00:00,"User Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:60.0) Gecko/20100101 Firefox/60.0

Steps to reproduce:

In the add-ons Manager many Extensions and Themes are marked LEGACY - I clicked the LEGACY link.


Actual results:

I am taken to https://www.seamonkey-project.org/doc/webextensions which says:
""Page Not Found
We're sorry, but we can't find what you're looking for.""  ... etc.


Expected results:

I expected to get  information about Legacy extensions, and what it entails."
Update elfhack code in SeaMonkey up to ESR68 level,1657012,RESOLVED,--,DUPLICATE,2020-08-03 23:28:27+00:00,2020-08-05 11:20:17+00:00,"Elfhack is used to optimize ELF shared binaries on Linux/UNIX systems.
It decreases libxul.so size up to 9Mb (10%) and speedups startup time.

The current code is still oriented on binaries produced by traditional gcc compiler (and bfd linker).
To support clang compiler and lld linker, as well as possible future needs for building with lto, elfhack should be updated.

The final code of ESR68 seems satisfy all possible needs for years to come.

Note, *build/unix/elfhack/\** is an isolated thing that does not correlate with anything else (ie. no prerequisites in general).
All the commits below can be quiet applied cleanly step by step."
Particular Page contents with error message not shown in Browser,1657304,RESOLVED,--,WORKSFORME,2020-08-05 09:36:28+00:00,2022-09-17 07:09:10+00:00,"Steps how to reproduce with installation of unofficial (by wg9s) De SeaMonkey 2.53.5 beta 1 pre Mozilla/5.0  (NT 6.1; Win64; x64; rv:60.0) Gecko/20100101 Firefox/60.0 Build 20200727210001 (Default Classic Theme, newly created User Profile) on German WIN7 64bit:

1. Visit [this page](https://www.ardmediathek.de/tv/Hallo-Niedersachsen/Braunschweig-Weststadt-Quartier-im-Aufw/NDR-Fernsehen/Video?bcastId=25231206&documentId=43784650)  
   » Expected: Error Message ""Diese Seite von www.ardmediathek.de wurde nicht gefunden.Diese Seite wurde möglicherweise verschoben oder gelöscht. HTTP ERROR 410"" shown
    Actual: blank page  😥

### Additional Information
**Error Console** shows ""Zeitstempel: 05.08.2020, 11:22:20
Fehler: Die Zeichenkodierung des Reintext-Dokuments wurde nicht deklariert. Das Dokument wird in manchen Browser-Konfigurationen mit verstümmeltem Text dargestellt, wenn das Dokument Zeichen außerhalb des US-ASCII-Bereichs enthält. Die Zeichenkodierung der Seite muss im Transferprotokoll deklariert werden oder die Datei muss eine Byte-Order-Markierung als Kodierungssignatur verwenden.
Quelldatei: https://www.ardmediathek.de/tv/Hallo-Niedersachsen/Braunschweig-Weststadt-Quartier-im-Aufw/NDR-Fernsehen/Video?bcastId=25231206&documentId=43784650
Zeile: 0""  
   
No **[Obvious DUP](https://bugzilla.mozilla.org/buglist.cgi?query_format=advanced&o1=notsubstring&short_desc_type=allwordssubstr&classification=Client%20Software&longdesc=byte%20order%20not%20transfer&v1=mail&short_desc=not%20&list_id=15364302&product=SeaMonkey&f1=short_desc&longdesc_type=allwordssubstr)** found"
Window position preference is no longer kept on a second screen,1657331,RESOLVED,P4,INVALID,2020-08-05 11:54:03+00:00,2021-09-23 09:14:42+00:00,"User Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:60.0) Gecko/20100101 Firefox/60.0 SeaMonkey/2.53.3

Steps to reproduce:

I open window like an email, a page information, history... 
I move it on my second screen




Actual results:

The next time i open the same window, it no longer appear on my second screen but always open in my first screen !


Expected results:

For seamonkey until 2.49 version, the windows always open where they were closed on my second screen !"
Browser: Frequent short UI freezes on particular web pages,1658118,RESOLVED,--,WORKSFORME,2020-08-08 10:36:26+00:00,2022-01-04 02:34:29+00:00,"I'm experiencing frequent UI freezes with Seamonkey (if memory serves me right since ~ version 2.49), e.g. when loading a new website, entering an URL in the URL bar, while scrolling on a website or even multiple times while typing this text.

In all of those cases CPU usage increases to 100% on one CPU, stays that way for maybe 2 seconds, and the complete UI is frozen during that time (though events will be processed once it normalizes again). My impression is that this always happens when an opened website is using a lot of JavaScript.

Steps to reproduce:
===================

A good example is when visiting Kickstarter (even when doing so with a fresh profile):
* Visit https://www.kickstarter.com
* The Seamonkey logo in the upper right corner will freeze for about a second, together with the rest of the UI
* As soon as the site is loaded, click on one of the categories (e.g. ""Games"").
* This time, Seamonkey will freeze even longer

Older Seamonkey versions or the current Firefox version keep reacting during the whole time. My impression is that Seamonkey will be permanently slower even when closing the tab after that.

I'm not sure whether this is platform specific - it is happening for me both on my openSUSE and Slackware Linux PCs, but I don't have a Windows or Mac PC for comparison."
[De] privsec_help.xhtml: incomplete,1658142,UNCONFIRMED,P5,,2020-08-08 15:19:09+00:00,2024-01-01 12:56:49+00:00,"Steps how to reproduce  with installation of unofficial (by wg9s) De SeaMonkey 2.53.3beta 1 pre Mozilla/5.0  (NT 6.1; Win64; x64; rv:60.0) Gecko/20100101 Firefox/60.0 Build 20200510220906 (Default Classic Theme, newly created User Profile) on German WIN7 64bit

1. Browser → F1
   » Help appears
2. Type search string ""Sicherheitseinstellungen"" → Click first hit ""Sicherheitseinstellungen""
   » Related Help appears
    Expected; more chapters for ""User Tracking"" , ""Location Aware Browsing"", ""Safe Browsing"" 
     Actual: Help text ends below TOC ""Verwandte Themen: ""   😥


### Additional Info:
a) Comparing size  (for 2.53.2) 
* en-US  13kB
* DE 2 kB  
b) Spanish and may be other Language Packs (2.53.3) with real translation are not affected.
c) Finnisch and  may beother Language Packs (2.53.3) **in English langaguage** are affected with the same problem 
d) If it's only a ""missing translated text"" problem I can contribute a translation as plain text.
e) German Translation for that text already missing in 2.49 and 2.39"
composer erases div segment,1658398,RESOLVED,--,DUPLICATE,2020-08-10 19:50:29+00:00,2021-08-05 05:52:24+00:00,"User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.105 Safari/537.36

Steps to reproduce:

keyed in in html tab this sample code from https://www.w3schools.com/howto/howto_js_image_zoom.asp:
<div class=""img-zoom-container"">
  <img id=""myimage"" src=""img_girl.jpg"" width=""300"" height=""240"" alt=""Girl"">
  <div id=""myresult"" class=""img-zoom-result""></div>
</div>


Actual results:

composer automatically deleted this part without notice:
 <div id=""myresult"" class=""img-zoom-result""></div>


Expected results:

should not have deleted the code segment- it is necessary and is read correctly by chrome, firefox and edge"
Fix searching / filters with custom headers,1658543,RESOLVED,--,FIXED,2020-08-11 11:36:31+00:00,2020-11-10 22:44:55+00:00,"We need to port the relevant changes from:
* Bug 549712 - Customize option in Search Messages is wonky
* Bug 1018241 - Customize option in Search Messages continues to be wonky

to fix using custom header drop down in search and filter creation dialogs.
For good measure, switch to using Services.jsm in mailWidgets.xml (part of Bug 795152)"
Google Meet session will not start,1658705,REOPENED,--,,2020-08-12 10:09:43+00:00,2023-08-27 07:47:07+00:00,"User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.0) Gecko/20100101 Firefox/60.0 SeaMonkey/2.53.3

Steps to reproduce:

Have got a link to a session in Meet at https://meet.google.com.
Trying it in SeaMonkey.


Actual results:

SeaMonkey browser window revolves infinitely but cannot load that link


Expected results:

Should go to the session and join it."
glibc-2.32 build issue: fatal error: sys/sysctl.h: No such file or directory,1658761,RESOLVED,--,FIXED,2020-08-12 16:01:53+00:00,2020-11-10 22:24:46+00:00,"User Agent: Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0 SeaMonkey/2.53.3

Steps to reproduce:

Trying to build seamonkey-2.53.3 on Linux with glibc-2.32 results in the following build error:


Actual results:

In file included from /var/tmp/portage/www-client/seamonkey-2.53.3/work/seamonkey-2.53.3/mozilla/memory/build/mozjemalloc.cpp:224:
/var/tmp/portage/www-client/seamonkey-2.53.3/work/seamonkey-2.53.3/seamonk/dist/system_wrappers/sys/sysctl.h:3:15: fatal error: sys/sysctl.h: No such file or directory
    3 | #include_next <sys/sysctl.h>
      |               ^~~~~~~~~~~~~~
compilation terminated.


Expected results:

Build succeeds"
Sorting of Folder pane in Messenger is not following systems locale in SeaMonkey 2.53.3,1659080,UNCONFIRMED,--,,2020-08-14 11:34:58+00:00,2023-01-27 22:31:12+00:00,"User Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:60.0) Gecko/20100101 Firefox/60.0 SeaMonkey/2.53.3

Steps to reproduce:

Using Foldername with Danish character Å or Aa in Messenger for Folder names


Actual results:

The folders in the Folder Pane starting with Aa and Å is sorted before and after A.


Expected results:

The folders starting with Å and Aa should be sorted last (after Z) according to Danish locale.

SeaMonkey 2.49.5 did this correctly - see attached file."
Pictures no longer shown on IMGUR,1659778,RESOLVED,--,FIXED,2020-08-18 17:19:39+00:00,2020-09-25 10:57:57+00:00,"Since today my  installation of unofficial (by wg9s) De SeaMonkey 2.53.5 beta 1 pre Mozilla/5.0  (NT 6.1; Win64; x64; rv:60.0) Gecko/20100101 Firefox/60.0 Build 20200727210001 (Default Classic Theme) on German WIN7 64bit has stopped to show single pictures on IMGUR.

Steps how to reproduce:
1. Open https://imgur.com/ in newly created User Profile
   » Shows overview of pictures
2. Click arbitrary picture or movie like
   <https://imgur.com/gallery/IrtIO1q>
   » Expected: single picture or movie shown
     Actual: Black Page. Page Info / Media only shows 😥
             some small Icons, but they also are invisible. 😥

### Additional information
a) Changing User Agent String without success for now. 
b) Other Browsers like Edge or FF 80.0a1 (2020-07-09) (32-bit) do the job
c) The problem has been confirmed on mozilla.support.seamonkey in Thread ""No more images shown on IMGUR"" for Linux"
Scrolling with scroll wheel in SeaMonkey gets jerky after a while,1660767,UNCONFIRMED,--,,2020-08-24 11:33:52+00:00,2020-09-26 10:28:53+00:00,"User Agent: Mozilla/5.0 (Windows NT 6.1; WOW64; rv:60.0) Gecko/20100101 Firefox/60.0 SeaMonkey/2.53.3

Steps to reproduce:

Scrolling with mouse wheel in web pages, email messages, email list, email folders etc. gets jerky when SeaMonkey 2.53.3 has been running for a while (hours).  If I close SeaMonkey and reopen it, things are back to normal.
I have smooth scrolling disabled system-wise.  Running Windows 7.


Actual results:

The scrolling gets jerky and lagging - I start to scroll and nothing happens for the first couple of rolls.


Expected results:

Scrolling should not change over time - I don't recall experiencing this with SeaMonkey 2.49.5"
Pictures no longer shown on tumblr,1660948,VERIFIED,--,WORKSFORME,2020-08-25 06:36:48+00:00,2021-03-10 08:19:41+00:00,"Since today my  unzipped unofficial (by wg9s) De SeaMonkey 2.53.3beta 1 pre Mozilla/5.0  (NT 6.1; Win64; WOW64; rv:60.0) Gecko/20100101 Firefox/60.0 Build 20200823224720 (Default Classic Theme, newly created User Profile) on German WIN7 64bit has stopped to show single pictures and any other contents on tumblr.

Steps how to reproduce:
1. Visit [this page](https://www.tumblr.com/explore/trending) (as per Bug 1625370 Comment 3).   
   » Expected: lots of contents shown 
     Actual: Grey/Black Page. Page Info / Media only shows a single gif 😥

### Additional information
a) Changing User Agent String without success for now. 
b) Other Browsers like Edge do the job
c) Fix as per *[Bug 1659778](https://bugzilla.mozilla.org/show_bug.cgi?id=1659778) Pictures no longer shown on IMGUR* (Comment 4) does not help here, problem seems to have different roots."
Accelerators to tag messages are not shown in the Message -> Tag menu,1661039,NEW,--,,2020-08-25 14:37:41+00:00,2020-08-25 14:37:41+00:00,"In the support newsgroup, it was pointed out that the accelerators which can be used to tag messages are not shown in the Message->Tag menu in SeaMonkey Mail&News, but do appear in Thunderbird[1].

This menu seems to be built in mailWindowOverlay.js, in SetMessageTagLabel(). While in SeaMonkey this function sets the accesskey attribute, in Thunderbird it sets both accesskey and acceltext. See bug 781466 and the related commit[2].

[1] news://news.mozilla.org/TOidnaeBsMBvc6LCnZ2dnUU7-VWdnZ2d@mozilla.org
[2] https://hg.mozilla.org/comm-central/rev/3b436975ce82"
Unable to select folders/directories with the XUL file picker,1661070,NEW,--,,2020-08-25 16:39:45+00:00,2021-08-12 21:47:26+00:00,"In SeaMonkey 2.53.3 on GNU/Linux, with ui.allow_platform_file_picker set to false (so that the XUL file picker is used), I can't save two or more files at the same time.

There are at least two ways to reproduce this: in Mail&News by saving two or more attachments at once and in the Navigator Page Info dialog Media tab, also by saving two or more items at the same time.

This may have been introduced by bug 1335539, where the use of wrapDOMFile in nsFilePicker.js was replaced with createFromNsIFile[1]. This seems to fail silently when the file picker is used to choose a directory. Adding a catch() to these promises, I get NS_ERROR_FILE_IS_DIRECTORY.

If I'm understanding the code correctly, CreateFromNsIFile in dom/file/File.cpp calls FileCreatorHelper::CreateFile in FileCreatorHelper.cpp, which calls CreateFileInternal, which calls CreateBlobImpl. This last one calls InitializeChromeFile in MultipartBlobImpl.cpp, which will fail for directories (line 360 for 2.53.3 final).

[1] https://hg.mozilla.org/mozilla-central/diff/e769531b24333372cf6e28c6c495abb069136060/toolkit/components/filepicker/nsFilePicker.js"
CRASH in video conference with WebRTC,1661249,UNCONFIRMED,--,,2020-08-26 12:09:56+00:00,2021-03-10 22:06:45+00:00,"Steps how to reproduce with installation of unofficial (by wg9s) De SeaMonkey 2.53.5 beta 1 pre Mozilla/5.0  (NT 6.1; Win64; x64; rv:60.0) Gecko/20100101 Firefox/60.0 Build 20200727210001 (Default Classic Theme) on German WIN7 64bit:

1. Install Add-on ""WebRTC Permissions UI Toggle"" (1.4.0)
2. Relaunch SeaMonkey
3. Menu ˋExtras → Enable WebRTCˊ
4. Visit https://palava.tv/RainersTestkonferenz with a different device (smartphone)and Seamonkey
   » Expected: Video call
    Actual: CRASH after few Seconds.
    
Crash Reports: 
[bp-8517ac23-dff5-432f-ae44-761780200826 ](https://crash-stats.mozilla.org/report/index/8517ac23-dff5-432f-ae44-761780200826) 	26.08.2020	10:18  
[bp-6aec57a0-ca1d-4cfa-8319-e2fe30200826](https://crash-stats.mozilla.org/report/index/6aec57a0-ca1d-4cfa-8319-e2fe30200826) 	26.08.2020	09:58"
Page Contents on particular web page on windowsforum.com completely messed,1661265,RESOLVED,--,WORKSFORME,2020-08-26 13:51:20+00:00,2021-03-12 05:29:47+00:00,"Steps how to reproduce with installation of unofficial (by wg9s) De SeaMonkey 2.53.5 beta 1 pre Mozilla/5.0  (NT 6.1; Win64; x64; rv:60.0) Gecko/20100101 Firefox/60.0 Build 20200727210001 (Newly created User Profile, Default Classic Theme) on German WIN7 64bit:

1. Visit https://windowsforum.com/threads/network-diagnostic-information.223812/
   » Contents overlapped, cluttered

### Additional Info  
a) Works fine with MS EDGE"
out of date page version is retrieved when going back,1661704,UNCONFIRMED,--,,2020-08-28 13:17:57+00:00,2021-03-10 22:07:31+00:00,"User Agent: Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0 SeaMonkey/2.53.4

Steps to reproduce:

prerequisites: account on www.linuxquestions.org

* post to an existing thread - a thread with my response is displayed
* go to a different site either by typing url manually in the address bar or via bookmarks
* go back (alt-left)



Actual results:

a thread without my response is displayed, to see my answer I have to reload the page (^r)



Expected results:

a thread with my response should've been displayed"
Page view damaged for particular windowsforum.com page,1661885,RESOLVED,P4,WORKSFORME,2020-08-29 05:59:42+00:00,2021-11-09 22:50:12+00:00,"Steps how to reproduce with installation of unofficial (by wg9s) De SeaMonkey 2.53.5 beta 1 pre Mozilla/5.0  (NT 6.1; Win64; x64; rv:60.0) Gecko/20100101 Firefox/60.0 Build 20200727210001 (Default Classic Theme) on German WIN7 64bit:
  
1. Visit windowsforum.com and if possible log in (this step is not mandatory)
2. Visit [this page](https://windowsforum.com/threads/no-connection-to-lan.250915/)
3. Slick on vertical scroll slider and scroll down
   » Expected: bottom of page with ""Similar Treads"" appears 
   Actual: heavy page damages, missing contents, sometimes a ""page in page view"" will be created with a second view of the side bar. 😥

#### Additional info
a) It seems that not many pages are affected, I saw this the first time on windowsforum.com - so low priority"
502 Bad Gateway,1661937,RESOLVED,--,WORKSFORME,2020-08-29 19:44:25+00:00,2020-09-01 09:34:52+00:00,"User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.0) Gecko/20100101 Firefox/60.0 SeaMonkey/2.53.3

Steps to reproduce:

As an example, try this link in SeaMonkey: 
https://www.ar25.org/article/ukrayinci-formula-krovi-povne-doslidzhennya.html


Actual results:

You'll get 
«502 Bad Gateway»
message


Expected results:

Microsoft Edge opens the link correctly"
URL special characters become encoded when copy,1662196,UNCONFIRMED,--,,2020-08-31 17:06:22+00:00,2020-11-17 19:55:35+00:00,"Steps how to reproduce with installation of unofficial (by wg9s) De SeaMonkey 2.53.5 beta 1 pre Mozilla/5.0  (NT 6.1; Win64; x64; rv:60.0) Gecko/20100101 Firefox/60.0 Build 20200727210001 (Default Classic Theme) on German WIN7 64bit:
1. Bookmark https://yopad.eu/p/SeaMonkeyTest_""§³FÄd-365days
2. Click into URL-Bar → Select (=higlight) all URL → richtclick → Copy
3. Paste to anywhere    
  » Expected: Pasted string looks like URL
   Actual: encoding makes it to ""https://yopad.eu/p/SeaMonkeyTest_%22%C2%A7%C2%B3F%C3%84d-365days""


### Additional info:
a) This behavior has at least one ugly side effect:
a1)  paste clipboard from step 3 to Sidebar - Search input field
   » Expected: bookmark will be found
   Actual: not found
a2) Move mouse pointer above bookmark from (1) in Sidebar - Bookmarks Panel. Tooltip will show encoded URL. Now rightlick bookmark  →  Copy → paste to Sidebar - Search input field  
     » Expected: will be found  
     Actual: not found (but you can open this page from Bookmark without problem).  
b) Encoding does not appear if you only copy partial URL. for step 2 try all URL except quite left ""h"". In (3) you will see correct string, and (a1) will work fine
b1) same if you copy all except tailing ""s""
d) I wonder whether this one is related to or DUP of ""Bug 772718 - ""friendly"" URL isn't real URL; screws up copying"""
"classic theme, GTK3: RSS feed preview header can be hard to read when the GTK theme does not specify a tooltip background color",1664242,RESOLVED,--,FIXED,2020-09-10 16:46:24+00:00,2021-03-08 23:26:43+00:00,"GTK3 themes may use a background image or gradient instead of a background color for tooltips. When using such a GTK theme with the SeaMonkey default/classic theme, the combination of foreground and background colors can result in unreadable (or hard to read) text in the feed preview header, which is styled using tooltip colors. Firefox handled this in bug 1187203."
unwanted drop-down privacy data deletion list,1664316,RESOLVED,--,INVALID,2020-09-10 21:41:57+00:00,2020-09-11 08:06:57+00:00,"User Agent: Mozilla/5.0 (Windows NT 10.0; WOW64; rv:60.0) Gecko/20100101 Firefox/60.0 SeaMonkey/2.53.3

Steps to reproduce:

this relates to Sea-Monkey when i access my emails I get on the Desktop a drop down menu to delete privacy data - tried to delete it but it only can be canceled so how do I get rid of it permanently?


Actual results:

keep showing up eveytime


Expected results:

should not appear at all so I can accidentally delete things listed including URLs history and book marks"
Links lead to wrong comment target on suniversum.de,1664504,UNCONFIRMED,P5,,2020-09-11 15:44:06+00:00,2023-07-09 11:29:19+00:00,"On mentioned page links targeted to a comment on a page always will get focus on the previous comment.  
  
Steps how to reproduce with installation of unofficial (by wg9s) De SeaMonkey 2.53.5 beta 1 pre Mozilla/5.0  (NT 6.1; Win64; x64; rv:60.0) Gecko/20100101 Firefox/60.0 Build 20200901210005 (Default Classic Theme, newly created user profile) on German WIN7 64bit:

1. Visit [this page on suniversum.de](https://suniversum.de/project/weststadt-aktivkasse-bs/note/die-weststadt-sattelt-auf/)  
   » As expected top of Page is shown  
2. Scroll down an click ""before so and so hours/days/...)"" above ""Braunschweiger Apfeltag""  
   » Expected:  ""Braunschweiger Apfeltag"" comment shown  
    Actual: ""Tour mit Tandem-Gruppe ..."" shown

### Additional Info:
a) You will see this effects with all similar links on that page. Link above ""Tour mit Tandem-Gruppe ..."" will lead to ""Radtour rings ums Ringgleis"" and so on.
b) and that effect is visible on all other pages I tested  
c) same effect on [wechange.de](https://wechange.de/group/forum/note/bin-mit-dem-wechsel-des-nachrichten-tool-zu/#comment-42049)  
d) Works fine with Edge
e) Works better, but not 100% Exactly with FF 81.0a1 (2020-08-18) (32-bit)"
Browser 2.53.3 doesn't return back to the tab from which I opened the link,1665434,RESOLVED,--,DUPLICATE,2020-09-16 17:27:33+00:00,2020-09-17 10:33:10+00:00,"User Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:60.0) Gecko/20100101 Firefox/60.0 SeaMonkey/2.53.3

Steps to reproduce:

- I'm opening a new tab from some link in some panel, the tab is the last one (browser.tabs.insertRelatedAfterCurrent = false, I like this setting)
- I close this (newest) tab


Actual results:

- the browser switches to the tab left to the just closed (to the tab the far right), browser doesn't return back to the tab from which I opened the link


Expected results:

I would like the browser to return to the tab from which I opened the link as in 2.49.5.

Explanation:

I just updated SeaMonkey from 2.49.5 to 2.53.3. And I see different behavior.

2.49.5:
- I'm opening a new tab from some link
- I close this (newest) tab and the browser returns to the original tab from which I opened the link

2.53.3:
- I'm opening a new tab from some link
- I close this tab and the browser switches to the tab on the far right, browser doesn't return back to the tab from which I opened the link

I search in about:config, ""browser.tabs"" but there is no option to toggle."
internet radio,1666572,RESOLVED,--,INCOMPLETE,2020-09-22 18:00:50+00:00,2020-12-19 12:49:13+00:00,"User Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:78.0) Gecko/20100101 Firefox/78.0

Steps to reproduce:

I listen to ogg and flac internetradio
i made a html file with the urls if the stations


Actual results:

with Mozilla Firefox ESR the stream continues to play, with SeaMonkey Navigator it stops very often
command + R doesn’t always help to restart the stream
sometimes just a few seconds and it stops again
it can’t be the stream because of what happens in Mozilla Firefox ESR
it never stops with flac, only in ogg


Expected results:

continues play"
Can't use the video controls on some websites,1666681,UNCONFIRMED,--,,2020-09-23 04:11:18+00:00,2021-03-10 22:05:35+00:00,"User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.0) Gecko/20100101 Firefox/60.0 SeaMonkey/2.53.3

Steps to reproduce:

Only about 15-20% of the websites with videos that I visit, the video controls will not work when I click on them.  You can start the video but, after it starts I can't fast forward using the sliding bar at the bottom to another part of the video.  When I click on the ""stop"" button, it won't stop.  When I click on the ""full screen"" icon it will not go to full screen.  I tried to figure out what video player the sites are using and have been unable to figure out it.  I believe it started in the version before 2.53.  I hoped it would be fixed before version 2.53 came out.  However, the controls still are not working on videos on certain sites.  It seems that some sites changed overnight.  The videos work correctly and the next day the controls don't work.  The videos controls work correctly on Firefox, Chrome and MS Edge but not on Seamonkey.


Actual results:

Searched the web for answers and found none.  None of the video controls worked on a few site with videos.  Tried the same sites with the videos on Firefox, Chrome and MS Edge and they all worked fine.


Expected results:

The video controls should work on all sites as Firefox, Chrome and MS Edge does."
SeaMonkey 2.53.x source release contains generated binary files,1666713,RESOLVED,--,FIXED,2020-09-23 08:08:01+00:00,2021-02-11 22:21:39+00:00,"The SeaMonkey 2.53.4 source release tarball at <https://archive.mozilla.org/pub/seamonkey/releases/2.53.4/source/seamonkey-2.53.4.source.tar.xz> contains a number of generated files that probably shouldn't be there:

mozilla/third_party/python/psutil/build/lib.linux-x86_64-2.7/
mozilla/third_party/python/psutil/build/lib.linux-x86_64-2.7/psutil/
mozilla/third_party/python/psutil/build/lib.linux-x86_64-2.7/psutil/_psutil_linux.so
mozilla/third_party/python/psutil/build/lib.linux-x86_64-2.7/psutil/_psutil_posix.so
mozilla/third_party/python/psutil/build/temp.linux-x86_64-2.7/
mozilla/third_party/python/psutil/build/temp.linux-x86_64-2.7/psutil/
mozilla/third_party/python/psutil/build/temp.linux-x86_64-2.7/psutil/_psutil_common.o
mozilla/third_party/python/psutil/build/temp.linux-x86_64-2.7/psutil/_psutil_linux.o
mozilla/third_party/python/psutil/build/temp.linux-x86_64-2.7/psutil/_psutil_posix.o
mozilla/third_party/python/psutil/psutil/_psutil_linux.so
mozilla/third_party/python/psutil/psutil/_psutil_posix.so
mozilla/third_party/python/psutil/tmp/tmp12gn5X.o
mozilla/third_party/python/psutil/tmp/tmp1rp_Y8.o
mozilla/third_party/python/psutil/tmp/tmp2AQM6Z.o
mozilla/third_party/python/psutil/tmp/tmp2uKxMv.o
mozilla/third_party/python/psutil/tmp/tmp47RnvV.o
mozilla/third_party/python/psutil/tmp/tmp4IqNnV.o
mozilla/third_party/python/psutil/tmp/tmp53SV8M.o
mozilla/third_party/python/psutil/tmp/tmp5V_A6J.o
mozilla/third_party/python/psutil/tmp/tmp7bWLwo.o
mozilla/third_party/python/psutil/tmp/tmp8jgDur.o
mozilla/third_party/python/psutil/tmp/tmp8OgbXp.o
mozilla/third_party/python/psutil/tmp/tmp91s1py.o
mozilla/third_party/python/psutil/tmp/tmpAnI_Ug.o
mozilla/third_party/python/psutil/tmp/tmp_AVqg7.o
mozilla/third_party/python/psutil/tmp/tmpBFcM2M.o
mozilla/third_party/python/psutil/tmp/tmpblnaVS.o
mozilla/third_party/python/psutil/tmp/tmpC0sNFr.o
mozilla/third_party/python/psutil/tmp/tmpc374uv.o
mozilla/third_party/python/psutil/tmp/tmpC5EPo7.o
mozilla/third_party/python/psutil/tmp/tmpCfTkNO.o
mozilla/third_party/python/psutil/tmp/tmpChVbet.o
mozilla/third_party/python/psutil/tmp/tmpcq9X1d.o
mozilla/third_party/python/psutil/tmp/tmpCU5xYn.o
mozilla/third_party/python/psutil/tmp/tmpD1IIog.o
mozilla/third_party/python/psutil/tmp/tmpDLE54G.o
mozilla/third_party/python/psutil/tmp/tmpewiacF.o
mozilla/third_party/python/psutil/tmp/tmpgIfClk.o
mozilla/third_party/python/psutil/tmp/tmphKD_rk.o
mozilla/third_party/python/psutil/tmp/tmpHtu9Cy.o
mozilla/third_party/python/psutil/tmp/tmpiait6V.o
mozilla/third_party/python/psutil/tmp/tmpIZZhqE.o
mozilla/third_party/python/psutil/tmp/tmpja4r1P.o
mozilla/third_party/python/psutil/tmp/tmpjdGybu.o
mozilla/third_party/python/psutil/tmp/tmpm88GvX.o
mozilla/third_party/python/psutil/tmp/tmp_m8C5t.o
mozilla/third_party/python/psutil/tmp/tmpma0f3y.o
mozilla/third_party/python/psutil/tmp/tmpn_9Unu.o
mozilla/third_party/python/psutil/tmp/tmpNxVm0n.o
mozilla/third_party/python/psutil/tmp/tmpQhjiKC.o
mozilla/third_party/python/psutil/tmp/tmpqxXrtM.o
mozilla/third_party/python/psutil/tmp/tmpRH6Tfl.o
mozilla/third_party/python/psutil/tmp/tmpRNGren.o
mozilla/third_party/python/psutil/tmp/tmp_Selwg.o
mozilla/third_party/python/psutil/tmp/tmpSZcPso.o
mozilla/third_party/python/psutil/tmp/tmptLnqJr.o
mozilla/third_party/python/psutil/tmp/tmpuUlk6H.o
mozilla/third_party/python/psutil/tmp/tmpVz1WzA.o
mozilla/third_party/python/psutil/tmp/tmpwBMa6C.o
mozilla/third_party/python/psutil/tmp/tmpWeVq4U.o
mozilla/third_party/python/psutil/tmp/tmpxlHTCF.o
mozilla/third_party/python/psutil/tmp/tmpXnflIe.o
mozilla/third_party/python/psutil/tmp/tmpZWRUo_.o
mozilla/third_party/python/psutil/tmp/tmpzyA3C8.o"
add other language user interface,1667212,UNCONFIRMED,--,,2020-09-24 20:24:46+00:00,2021-03-10 22:06:09+00:00,"User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:60.0) Gecko/20100101 Firefox/60.0 SeaMonkey/2.53.3

Steps to reproduce:

While working with English localisation do not understand how to add other localisations into user interface to play with several ones."
